
OpenMP Multiplication took TIME in Seconds:, 1.039566 , Number of Threads:, 7
OpenMP Multiplication took TIME in Seconds:, 1.018879 , Number of Threads:, 8
Size of the Matrix, 1024 x 1024 
Sequential Multiplication took TIME in Seconds:, 28.649326 
OpenMP Multiplication took TIME in Seconds:, 16.965719 , Number of Threads:, 2
OpenMP Multiplication took TIME in Seconds:, 12.518339 , Number of Threads:, 3
OpenMP Multiplication took TIME in Seconds:, 11.790145 , Number of Threads:, 4
OpenMP Multiplication took TIME in Seconds:, 10.951757 , Number of Threads:, 5
OpenMP Multiplication took TIME in Seconds:, 10.844995 , Number of Threads:, 6
OpenMP Multiplication took TIME in Seconds:, 10.763143 , Number of Threads:, 7
OpenMP Multiplication took TIME in Seconds:, 10.684692 , Number of Threads:, 8
Size of the Matrix, 2048 x 2048 
Sequential Multiplication took TIME in Seconds:, 235.317128 
OpenMP Multiplication took TIME in Seconds:, 132.006147 , Number of Threads:, 2
OpenMP Multiplication took TIME in Seconds:, 105.257997 , Number of Threads:, 3
OpenMP Multiplication took TIME in Seconds:, 96.325372 , Number of Threads:, 4
OpenMP Multiplication took TIME in Seconds:, 99.192776 , Number of Threads:, 5
OpenMP Multiplication took TIME in Seconds:, 103.174597 , Number of Threads:, 6
OpenMP Multiplication took TIME in Seconds:, 97.122749 , Number of Threads:, 7
OpenMP Multiplication took TIME in Seconds:, 96.969520 , Number of Threads:, 8
Size of the Matrix, 4096 x 4096 
Sequential Multiplication took TIME in Seconds:, 1854.529021 
OpenMP Multiplication took TIME in Seconds:, 1072.559703 , Number of Threads:, 2
OpenMP Multiplication took TIME in Seconds:, 878.957948 , Number of Threads:, 3
OpenMP Multiplication took TIME in Seconds:, 799.300636 , Number of Threads:, 4
OpenMP Multiplication took TIME in Seconds:, 8825.420931 , Number of Threads:, 5
OpenMP Multiplication took TIME in Seconds:, 802.956940 , Number of Threads:, 6
